rank	rep	method	FP	TP	n_ctrl	n_sig
0.082	number of replicate = 1	Naive	0.019607843137254898	0.15267829840856362	17	526
0.082	number of replicate = 1	Rosace	0	0.1800369552256931	17	526
0.082	number of replicate = 1	Rosace(nopos)	0	0.145670889903913	17	526
0.082	number of replicate = 1	mutscan(edgeR)	0	0.15074562124891558	17	526
0.082	number of replicate = 1	mutscan(limma)	0	0.16920808213043412	17	526
0.082	number of replicate = 2	DiMSum	0	0.17161790905609486	17	551
0.082	number of replicate = 2	Enrich2	0	0.18977671955910022	17	551
0.082	number of replicate = 2	Naive	0	0.17250536971977556	17	551
0.082	number of replicate = 2	Rosace	0	0.18707437686275163	17	551
0.082	number of replicate = 2	Rosace(nopos)	0	0.16430843004379028	17	551
0.082	number of replicate = 2	mutscan(edgeR)	0	0.17619507484307095	17	551
0.082	number of replicate = 2	mutscan(limma)	0	0.1970961887477314	17	551
0.082	number of replicate = 3	DiMSum	0	0.1894353369763206	17	549
0.082	number of replicate = 3	Enrich2	0	0.18579234972677597	17	549
0.082	number of replicate = 3	Naive	0	0.15846994535519127	17	549
0.082	number of replicate = 3	Rosace	0	0.18032786885245905	17	549
0.082	number of replicate = 3	Rosace(nopos)	0	0.14025500910746813	17	549
0.082	number of replicate = 3	mutscan(edgeR)	0	0.14207650273224043	17	549
0.082	number of replicate = 3	mutscan(limma)	0	0.18397085610200364	17	549
0.084	number of replicate = 1	DiMSum	0.022222222222222223	0.14317748809815464	17	526
0.084	number of replicate = 1	Enrich2	0	0.16220338893205577	17	526
0.084	number of replicate = 1	Naive	0.019607843137254898	0.15522772078229438	17	526
0.084	number of replicate = 1	Rosace	0	0.1825815215568072	17	526
0.084	number of replicate = 1	Rosace(nopos)	0	0.14694073578090486	17	526
0.084	number of replicate = 1	mutscan(edgeR)	0	0.1532877502914645	17	526
0.084	number of replicate = 1	mutscan(limma)	0	0.17365377061144507	17	526
0.084	number of replicate = 2	DiMSum	0	0.17436021245774985	17	551
0.084	number of replicate = 2	Enrich2	0	0.19618874773139747	17	551
0.084	number of replicate = 2	Naive	0	0.17706255515409847	17	551
0.084	number of replicate = 2	Rosace	0	0.19255898366606172	17	551
0.084	number of replicate = 2	Rosace(nopos)	0	0.16795817446177924	17	551
0.084	number of replicate = 2	mutscan(edgeR)	0	0.17802993722839205	17	551
0.084	number of replicate = 2	mutscan(limma)	0	0.20073594298939376	17	551
0.084	number of replicate = 3	DiMSum	0	0.1912568306010929	17	549
0.084	number of replicate = 3	Enrich2	0	0.1894353369763206	17	549
0.084	number of replicate = 3	Naive	0	0.16393442622950818	17	549
0.084	number of replicate = 3	Rosace	0	0.18579234972677597	17	549
0.084	number of replicate = 3	Rosace(nopos)	0	0.14389799635701275	17	549
0.084	number of replicate = 3	mutscan(edgeR)	0	0.14389799635701275	17	549
0.084	number of replicate = 3	mutscan(limma)	0	0.1894353369763206	17	549
0.086	number of replicate = 1	DiMSum	0.022222222222222223	0.14508832233328472	17	526
0.086	number of replicate = 1	Enrich2	0	0.1647503740172213	17	526
0.086	number of replicate = 1	Naive	0.019607843137254898	0.15905670111825024	17	526
0.086	number of replicate = 1	Rosace	0	0.18576949500011103	17	526
0.086	number of replicate = 1	Rosace(nopos)	0	0.149492576908687	17	526
0.086	number of replicate = 1	mutscan(edgeR)	0	0.15647088622666547	17	526
0.086	number of replicate = 1	mutscan(limma)	0	0.17620075569661062	17	526
0.086	number of replicate = 2	DiMSum	0	0.17710251585940492	17	551
0.086	number of replicate = 2	Enrich2	0	0.19801361994039196	17	551
0.086	number of replicate = 2	Naive	0	0.1834546029737425	17	551
0.086	number of replicate = 2	Rosace	0	0.19712615927671126	17	551
0.086	number of replicate = 2	Rosace(nopos)	0	0.17068049751078107	17	551
0.086	number of replicate = 2	mutscan(edgeR)	0	0.18534940641702327	17	551
0.086	number of replicate = 2	mutscan(limma)	0	0.2016433840057277	17	551
0.086	number of replicate = 3	DiMSum	0	0.1948998178506375	17	549
0.086	number of replicate = 3	Enrich2	0	0.1894353369763206	17	549
0.086	number of replicate = 3	Naive	0	0.16757741347905283	17	549
0.086	number of replicate = 3	Rosace	0	0.1876138433515483	17	549
0.086	number of replicate = 3	Rosace(nopos)	0	0.14571948998178508	17	549
0.086	number of replicate = 3	mutscan(edgeR)	0	0.14571948998178508	17	549
0.086	number of replicate = 3	mutscan(limma)	0	0.1930783242258652	17	549
0.088	number of replicate = 1	DiMSum	0.022222222222222223	0.14700159385698006	17	526
0.088	number of replicate = 1	Enrich2	0	0.16793107266385707	17	526
0.088	number of replicate = 1	Naive	0.019607843137254898	0.1641482340000161	17	526
0.088	number of replicate = 1	Rosace	0	0.19085860912782546	17	526
0.088	number of replicate = 1	Rosace(nopos)	0	0.15394797747493125	17	526
0.088	number of replicate = 1	mutscan(edgeR)	0	0.15966129695853448	17	526
0.088	number of replicate = 1	mutscan(limma)	0	0.17874774078177616	17	526
0.088	number of replicate = 2	DiMSum	0	0.18075226027739388	17	551
0.088	number of replicate = 2	Enrich2	0	0.20166336435838095	17	551
0.088	number of replicate = 2	Naive	0	0.18710434739173148	17	551
0.088	number of replicate = 2	Rosace	0	0.2016933348873608	17	551
0.088	number of replicate = 2	Rosace(nopos)	0	0.17525766329775722	17	551
0.088	number of replicate = 2	mutscan(edgeR)	0	0.18899915083501223	17	551
0.088	number of replicate = 2	mutscan(limma)	0	0.20438568740738272	17	551
0.088	number of replicate = 3	DiMSum	0	0.19854280510018216	17	549
0.088	number of replicate = 3	Enrich2	0	0.1930783242258652	17	549
0.088	number of replicate = 3	Naive	0	0.17304189435336975	17	549
0.088	number of replicate = 3	Rosace	0	0.1930783242258652	17	549
0.088	number of replicate = 3	Rosace(nopos)	0	0.1493624772313297	17	549
0.088	number of replicate = 3	mutscan(edgeR)	0	0.14754098360655735	17	549
0.088	number of replicate = 3	mutscan(limma)	0	0.20036429872495445	17	549
0.09	number of replicate = 1	DiMSum	0.022222222222222223	0.14954857894214557	17	526
0.09	number of replicate = 1	Enrich2	0	0.17111419006454423	17	526
0.09	number of replicate = 1	Naive	0.019607843137254898	0.16669521908518165	17	526
0.09	number of replicate = 1	Rosace	0	0.19467302133593142	17	526
0.09	number of replicate = 1	Rosace(nopos)	0	0.15649739984866198	17	526
0.09	number of replicate = 1	mutscan(edgeR)	0	0.16283955831660502	17	526
0.09	number of replicate = 1	mutscan(limma)	0	0.1831934107282733	17	526
0.09	number of replicate = 2	DiMSum	0	0.1844119948717095	17	551
0.09	number of replicate = 2	Enrich2	0	0.20623053996903046	17	551
0.09	number of replicate = 2	Naive	0	0.19165154264972778	17	551
0.09	number of replicate = 2	Rosace	0	0.20624053014535706	17	551
0.09	number of replicate = 2	Rosace(nopos)	0	0.1816397209410746	17	551
0.09	number of replicate = 2	mutscan(edgeR)	0	0.18990659185134617	17	551
0.09	number of replicate = 2	mutscan(limma)	0	0.20986030403436623	17	551
0.09	number of replicate = 3	DiMSum	0	0.2040072859744991	17	549
0.09	number of replicate = 3	Enrich2	0	0.1948998178506375	17	549
0.09	number of replicate = 3	Naive	0	0.18214936247723132	17	549
0.09	number of replicate = 3	Rosace	0	0.19672131147540983	17	549
0.09	number of replicate = 3	Rosace(nopos)	0	0.15300546448087432	17	549
0.09	number of replicate = 3	mutscan(edgeR)	0	0.151183970856102	17	549
0.09	number of replicate = 3	mutscan(limma)	0	0.2058287795992714	17	549
0.092	number of replicate = 1	DiMSum	0.022222222222222223	0.15273655238544936	17	526
0.092	number of replicate = 1	Enrich2	0	0.17365875639565834	17	526
0.092	number of replicate = 1	Naive	0.019607843137254898	0.17050477525067095	17	526
0.092	number of replicate = 1	Rosace	0	0.20040068653321894	17	526
0.092	number of replicate = 1	Rosace(nopos)	0	0.16222266482641187	17	526
0.092	number of replicate = 1	mutscan(edgeR)	0	0.16920824894105835	17	526
0.092	number of replicate = 1	mutscan(limma)	0	0.18827766881337113	17	526
0.092	number of replicate = 2	DiMSum	0	0.18623686708070397	17	551
0.092	number of replicate = 2	Enrich2	0	0.20988028438701942	17	551
0.092	number of replicate = 2	Naive	0	0.1962287084367039	17	551
0.092	number of replicate = 2	Rosace	0	0.21264256814132768	17	551
0.092	number of replicate = 2	Rosace(nopos)	0	0.185279475182737	17	551
0.092	number of replicate = 2	mutscan(edgeR)	0	0.19355633626933516	17	551
0.092	number of replicate = 2	mutscan(limma)	0	0.21167518606703412	17	551
0.092	number of replicate = 3	DiMSum	0	0.2040072859744991	17	549
0.092	number of replicate = 3	Enrich2	0	0.19854280510018216	17	549
0.092	number of replicate = 3	Naive	0	0.18397085610200364	17	549
0.092	number of replicate = 3	Rosace	0	0.20036429872495445	17	549
0.092	number of replicate = 3	Rosace(nopos)	0	0.15664845173041894	17	549
0.092	number of replicate = 3	mutscan(edgeR)	0	0.15482695810564662	17	549
0.092	number of replicate = 3	mutscan(limma)	0	0.2058287795992714	17	549
0.094	number of replicate = 1	DiMSum	0.022222222222222223	0.15591725103208515	17	526
0.094	number of replicate = 1	Enrich2	0	0.1768394550422941	17	526
0.094	number of replicate = 1	Naive	0.019607843137254898	0.17558903333576875	17	526
0.094	number of replicate = 1	Rosace	0	0.20358382246841988	17	526
0.094	number of replicate = 1	Rosace(nopos)	0	0.16413106177297676	17	526
0.094	number of replicate = 1	mutscan(edgeR)	0	0.17175037798360726	17	526
0.094	number of replicate = 1	mutscan(limma)	0	0.19209693706409373	17	526
0.094	number of replicate = 2	DiMSum	0	0.18715429827336452	17	551
0.094	number of replicate = 2	Enrich2	0	0.21169516641968728	17	551
0.094	number of replicate = 2	Naive	0	0.1980435904693718	17	551
0.094	number of replicate = 2	Rosace	0	0.21810719459198458	17	551
0.094	number of replicate = 2	Rosace(nopos)	0	0.18801178840806543	17	551
0.094	number of replicate = 2	mutscan(edgeR)	0	0.19628864949466363	17	551
0.094	number of replicate = 2	mutscan(limma)	0	0.21532493048502305	17	551
0.094	number of replicate = 3	DiMSum	0	0.2058287795992714	17	549
0.094	number of replicate = 3	Enrich2	0	0.2040072859744991	17	549
0.094	number of replicate = 3	Naive	0	0.18579234972677597	17	549
0.094	number of replicate = 3	Rosace	0	0.2021857923497268	17	549
0.094	number of replicate = 3	Rosace(nopos)	0	0.1621129326047359	17	549
0.094	number of replicate = 3	mutscan(edgeR)	0	0.16029143897996356	17	549
0.094	number of replicate = 3	mutscan(limma)	0	0.21311475409836064	17	549
0.096	number of replicate = 1	DiMSum	0.022222222222222223	0.15846667340581588	17	526
0.096	number of replicate = 1	Enrich2	0	0.18065384871588627	17	526
0.096	number of replicate = 1	Naive	0.019607843137254898	0.1794010267898233	17	526
0.096	number of replicate = 1	Rosace	0	0.2092993568264227	17	526
0.096	number of replicate = 1	Rosace(nopos)	0	0.16731905375079434	17	526
0.096	number of replicate = 1	mutscan(edgeR)	0	0.17621065312698192	17	526
0.096	number of replicate = 1	mutscan(limma)	0	0.1933740762722674	17	526
0.096	number of replicate = 2	DiMSum	0	0.18898916065868565	17	551
0.096	number of replicate = 2	Enrich2	0	0.21169516641968728	17	551
0.096	number of replicate = 2	Naive	0	0.1980435904693718	17	551
0.096	number of replicate = 2	Rosace	0	0.2245092325879552	17	551
0.096	number of replicate = 2	Rosace(nopos)	0	0.18891922942439934	17	551
0.096	number of replicate = 2	mutscan(edgeR)	0	0.1981135217036581	17	551
0.096	number of replicate = 2	mutscan(limma)	0	0.21807722406300473	17	551
0.096	number of replicate = 3	DiMSum	0	0.209471766848816	17	549
0.096	number of replicate = 3	Enrich2	0	0.209471766848816	17	549
0.096	number of replicate = 3	Naive	0	0.1876138433515483	17	549
0.096	number of replicate = 3	Rosace	0	0.2058287795992714	17	549
0.096	number of replicate = 3	Rosace(nopos)	0	0.1657559198542805	17	549
0.096	number of replicate = 3	mutscan(edgeR)	0	0.16029143897996356	17	549
0.096	number of replicate = 3	mutscan(limma)	0	0.2204007285974499	17	549
0.098	number of replicate = 1	DiMSum	0.022222222222222223	0.1610088024483648	17	526
0.098	number of replicate = 1	Enrich2	0	0.1844755542551741	17	526
0.098	number of replicate = 1	Naive	0.019607843137254898	0.18131673560208386	17	526
0.098	number of replicate = 1	Rosace	0	0.21438847095413713	17	526
0.098	number of replicate = 1	Rosace(nopos)	0	0.1717647422318053	17	526
0.098	number of replicate = 1	mutscan(edgeR)	0	0.18066361640466094	17	526
0.098	number of replicate = 1	mutscan(limma)	0	0.19846560915403327	17	526
0.098	number of replicate = 2	DiMSum	0	0.1944637772856691	17	551
0.098	number of replicate = 2	Enrich2	0	0.21624236167768363	17	551
0.098	number of replicate = 2	Naive	0	0.20261076608002132	17	551
0.098	number of replicate = 2	Rosace	0	0.22906641802227812	17	551
0.098	number of replicate = 2	Rosace(nopos)	0	0.19258895419504155	17	551
0.098	number of replicate = 2	mutscan(edgeR)	0	0.2008458349289865	17	551
0.098	number of replicate = 2	mutscan(limma)	0	0.22264439967365426	17	551
0.098	number of replicate = 3	DiMSum	0	0.21311475409836064	17	549
0.098	number of replicate = 3	Enrich2	0	0.2167577413479053	17	549
0.098	number of replicate = 3	Naive	0	0.1894353369763206	17	549
0.098	number of replicate = 3	Rosace	0	0.21311475409836064	17	549
0.098	number of replicate = 3	Rosace(nopos)	0	0.17304189435336975	17	549
0.098	number of replicate = 3	mutscan(edgeR)	0	0.1621129326047359	17	549
0.098	number of replicate = 3	mutscan(limma)	0	0.2258652094717669	17	549
0.1	number of replicate = 1	DiMSum	0.022222222222222223	0.16419435713761718	17	526
0.1	number of replicate = 1	Enrich2	0	0.18765867165586123	17	526
0.1	number of replicate = 1	Naive	0.019607843137254898	0.1825865814790757	17	526
0.1	number of replicate = 1	Rosace	0	0.22011128010880798	17	526
0.1	number of replicate = 1	Rosace(nopos)	0	0.17431170878245703	17	526
0.1	number of replicate = 1	mutscan(edgeR)	0	0.1863912816019484	17	526
0.1	number of replicate = 1	mutscan(limma)	0	0.20483669999802423	17	526
0.1	number of replicate = 2	DiMSum	0	0.19537121830200305	17	551
0.1	number of replicate = 2	Enrich2	0	0.22170698812834044	17	551
0.1	number of replicate = 2	Naive	0	0.2062605104980103	17	551
0.1	number of replicate = 2	Rosace	0	0.23635591668192946	17	551
0.1	number of replicate = 2	Rosace(nopos)	0	0.1980535806456984	17	551
0.1	number of replicate = 2	mutscan(edgeR)	0	0.20267070713798102	17	551
0.1	number of replicate = 2	mutscan(limma)	0	0.22720158510797717	17	551
0.1	number of replicate = 3	DiMSum	0	0.21493624772313297	17	549
0.1	number of replicate = 3	Enrich2	0	0.2204007285974499	17	549
0.1	number of replicate = 3	Naive	0	0.19854280510018216	17	549
0.1	number of replicate = 3	Rosace	0	0.2204007285974499	17	549
0.1	number of replicate = 3	Rosace(nopos)	0	0.17486338797814208	17	549
0.1	number of replicate = 3	mutscan(edgeR)	0	0.1657559198542805	17	549
0.1	number of replicate = 3	mutscan(limma)	0	0.22950819672131148	17	549
0.102	number of replicate = 1	DiMSum	0.022222222222222223	0.16800875081120933	17	526
0.102	number of replicate = 1	Enrich2	0	0.19529233358017598	17	526
0.102	number of replicate = 1	Naive	0.019607843137254898	0.1870371260027033	17	526
0.102	number of replicate = 1	Rosace	0	0.22455696858981894	17	526
0.102	number of replicate = 1	Rosace(nopos)	0	0.17875981601751942	17	526
0.102	number of replicate = 1	mutscan(edgeR)	0	0.19338881121074153	17	526
0.102	number of replicate = 1	mutscan(limma)	0	0.209287225987138	17	526
0.102	number of replicate = 2	DiMSum	0	0.19718610033467093	17	551
0.102	number of replicate = 2	Enrich2	0	0.22628415391531662	17	551
0.102	number of replicate = 2	Naive	0	0.21082768610865982	17	551
0.102	number of replicate = 2	Rosace	0	0.24091310211625236	17	551
0.102	number of replicate = 2	Rosace(nopos)	0	0.20080587422368004	17	551
0.102	number of replicate = 2	mutscan(edgeR)	0	0.20450556952330212	17	551
0.102	number of replicate = 2	mutscan(limma)	0	0.22903644749329827	17	551
0.102	number of replicate = 3	DiMSum	0	0.2185792349726776	17	549
0.102	number of replicate = 3	Enrich2	0	0.2240437158469945	17	549
0.102	number of replicate = 3	Naive	0	0.2040072859744991	17	549
0.102	number of replicate = 3	Rosace	0	0.2240437158469945	17	549
0.102	number of replicate = 3	Rosace(nopos)	0	0.1785063752276867	17	549
0.102	number of replicate = 3	mutscan(edgeR)	0	0.17304189435336975	17	549
0.102	number of replicate = 3	mutscan(limma)	0	0.2331511839708561	17	549
0.104	number of replicate = 1	DiMSum	0.022222222222222223	0.1718255817733667	17	526
0.104	number of replicate = 1	Enrich2	0	0.19910430849971672	17	526
0.104	number of replicate = 1	Naive	0.019607843137254898	0.18958411108786885	17	526
0.104	number of replicate = 1	Rosace	0	0.22900749457893274	17	526
0.104	number of replicate = 1	Rosace(nopos)	0	0.18257422822562538	17	526
0.104	number of replicate = 1	mutscan(edgeR)	0	0.19466351313035	17	526
0.104	number of replicate = 1	mutscan(limma)	0	0.21118836667154867	17	526
0.104	number of replicate = 2	DiMSum	0	0.2035681579779883	17	551
0.104	number of replicate = 2	Enrich2	0	0.23085132952596615	17	551
0.104	number of replicate = 2	Naive	0	0.21355999933398823	17	551
0.104	number of replicate = 2	Rosace	0	0.24455285635791474	17	551
0.104	number of replicate = 2	Rosace(nopos)	0	0.20353818744900848	17	551
0.104	number of replicate = 2	mutscan(edgeR)	0	0.21269251902296077	17	551
0.104	number of replicate = 2	mutscan(limma)	0	0.23360362310394778	17	551
0.104	number of replicate = 3	DiMSum	0	0.2240437158469945	17	549
0.104	number of replicate = 3	Enrich2	0	0.2258652094717669	17	549
0.104	number of replicate = 3	Naive	0	0.209471766848816	17	549
0.104	number of replicate = 3	Rosace	0	0.22768670309653916	17	549
0.104	number of replicate = 3	Rosace(nopos)	0	0.18032786885245905	17	549
0.104	number of replicate = 3	mutscan(edgeR)	0	0.17304189435336975	17	549
0.104	number of replicate = 3	mutscan(limma)	0	0.23861566484517305	17	549
0.106	number of replicate = 1	DiMSum	0.022222222222222223	0.17437256685853225	17	526
0.106	number of replicate = 1	Enrich2	0	0.20102001731197727	17	526
0.106	number of replicate = 1	Naive	0.019607843137254898	0.19149252656894752	17	526
0.106	number of replicate = 1	Rosace	0	0.2334701884763588	17	526
0.106	number of replicate = 1	Rosace(nopos)	0	0.18638620314516613	17	526
0.106	number of replicate = 1	mutscan(edgeR)	0	0.19784177448842055	17	526
0.106	number of replicate = 1	mutscan(limma)	0	0.21437150260674961	17	526
0.106	number of replicate = 2	DiMSum	0	0.20723788274863053	17	551
0.106	number of replicate = 2	Enrich2	0	0.23541850513661566	17	551
0.106	number of replicate = 2	Naive	0	0.21719975357565063	17	551
0.106	number of replicate = 2	Rosace	0	0.24911004179223767	17	551
0.106	number of replicate = 2	Rosace(nopos)	0	0.208105363059658	17	551
0.106	number of replicate = 2	mutscan(edgeR)	0	0.21635225361727634	17	551
0.106	number of replicate = 2	mutscan(limma)	0	0.23724337734561016	17	551
0.106	number of replicate = 3	DiMSum	0	0.22950819672131148	17	549
0.106	number of replicate = 3	Enrich2	0	0.22768670309653916	17	549
0.106	number of replicate = 3	Naive	0	0.21493624772313297	17	549
0.106	number of replicate = 3	Rosace	0	0.23679417122040072	17	549
0.106	number of replicate = 3	Rosace(nopos)	0	0.18579234972677597	17	549
0.106	number of replicate = 3	mutscan(edgeR)	0	0.17486338797814208	17	549
0.106	number of replicate = 3	mutscan(limma)	0	0.24408014571949	17	549
0.108	number of replicate = 1	DiMSum	0.043055555555555555	0.1775532469706542	17	526
0.108	number of replicate = 1	Enrich2	0	0.20483442952008324	17	526
0.108	number of replicate = 1	Naive	0.019607843137254898	0.1933985232959748	17	526
0.108	number of replicate = 1	Rosace	0	0.2398339859891679	17	526
0.108	number of replicate = 1	Rosace(nopos)	0	0.18956204574918523	17	526
0.108	number of replicate = 1	mutscan(edgeR)	0	0.20165618669652652	17	526
0.108	number of replicate = 1	mutscan(limma)	0	0.21946303548851548	17	526
0.108	number of replicate = 2	DiMSum	0	0.21271249937561398	17	551
0.108	number of replicate = 2	Enrich2	0	0.2399756905709386	17	551
0.108	number of replicate = 2	Naive	0	0.2208594881699662	17	551
0.108	number of replicate = 2	Rosace	0	0.2527597862102266	17	551
0.108	number of replicate = 2	Rosace(nopos)	0	0.2099302352686525	17	551
0.108	number of replicate = 2	mutscan(edgeR)	0	0.2218268702442598	17	551
0.108	number of replicate = 2	mutscan(limma)	0	0.2418205431325863	17	551
0.108	number of replicate = 3	DiMSum	0	0.23679417122040072	17	549
0.108	number of replicate = 3	Enrich2	0	0.2331511839708561	17	549
0.108	number of replicate = 3	Naive	0	0.2204007285974499	17	549
0.108	number of replicate = 3	Rosace	0	0.24408014571949	17	549
0.108	number of replicate = 3	Rosace(nopos)	0	0.1912568306010929	17	549
0.108	number of replicate = 3	mutscan(edgeR)	0	0.18032786885245905	17	549
0.108	number of replicate = 3	mutscan(limma)	0	0.2459016393442623	17	549
0.11	number of replicate = 1	DiMSum	0.043055555555555555	0.18072908957467332	17	526
0.11	number of replicate = 1	Enrich2	0	0.208015128166719	17	526
0.11	number of replicate = 1	Naive	0.019607843137254898	0.1953093575311049	17	526
0.11	number of replicate = 1	Rosace	0	0.24300982859318704	17	526
0.11	number of replicate = 1	Rosace(nopos)	0	0.1927427258613072	17	526
0.11	number of replicate = 1	mutscan(edgeR)	0	0.20610916850871933	17	526
0.11	number of replicate = 1	mutscan(limma)	0	0.22519313797436818	17	526
0.11	number of replicate = 2	DiMSum	0	0.21727967498626352	17	551
0.11	number of replicate = 2	Enrich2	0	0.24453287600526147	17	551
0.11	number of replicate = 2	Naive	0	0.2245092325879552	17	551
0.11	number of replicate = 2	Rosace	0	0.2564295109808688	17	551
0.11	number of replicate = 2	Rosace(nopos)	0	0.2117650976539736	17	551
0.11	number of replicate = 2	mutscan(edgeR)	0	0.2236517424532543	17	551
0.11	number of replicate = 2	mutscan(limma)	0	0.2436454153415808	17	551
0.11	number of replicate = 3	DiMSum	0	0.23861566484517305	17	549
0.11	number of replicate = 3	Enrich2	0	0.23679417122040072	17	549
0.11	number of replicate = 3	Naive	0	0.2258652094717669	17	549
0.11	number of replicate = 3	Rosace	0	0.2459016393442623	17	549
0.11	number of replicate = 3	Rosace(nopos)	0	0.19672131147540983	17	549
0.11	number of replicate = 3	mutscan(edgeR)	0	0.18579234972677597	17	549
0.11	number of replicate = 3	mutscan(limma)	0	0.2495446265938069	17	549
0.112	number of replicate = 1	DiMSum	0.043055555555555555	0.18264236109836865	17	526
0.112	number of replicate = 1	Enrich2	0	0.2086488417281892	17	526
0.112	number of replicate = 1	Naive	0.019607843137254898	0.197853923862219	17	526
0.112	number of replicate = 1	Rosace	0	0.247455517074198	17	526
0.112	number of replicate = 1	Rosace(nopos)	0	0.19527999886123948	17	526
0.112	number of replicate = 1	mutscan(edgeR)	0	0.20928501111273845	17	526
0.112	number of replicate = 1	mutscan(limma)	0	0.22900755018247415	17	526
0.112	number of replicate = 2	DiMSum	0	0.22186683094956627	17	551
0.112	number of replicate = 2	Enrich2	0	0.24910005161591103	17	551
0.112	number of replicate = 2	Naive	0	0.22999383939126525	17	551
0.112	number of replicate = 2	Rosace	0	0.2628115686241862	17	551
0.112	number of replicate = 2	Rosace(nopos)	0	0.21539486171930933	17	551
0.112	number of replicate = 2	mutscan(edgeR)	0	0.2254866048385754	17	551
0.112	number of replicate = 2	mutscan(limma)	0	0.25095489435388535	17	551
0.112	number of replicate = 3	DiMSum	0	0.24408014571949	17	549
0.112	number of replicate = 3	Enrich2	0	0.24225865209471767	17	549
0.112	number of replicate = 3	Naive	0	0.22768670309653916	17	549
0.112	number of replicate = 3	Rosace	0	0.2459016393442623	17	549
0.112	number of replicate = 3	Rosace(nopos)	0	0.20036429872495445	17	549
0.112	number of replicate = 3	mutscan(edgeR)	0	0.1894353369763206	17	549
0.112	number of replicate = 3	mutscan(limma)	0	0.2550091074681239	17	549
0.114	number of replicate = 1	DiMSum	0.043055555555555555	0.18518449014091753	17	526
0.114	number of replicate = 1	Enrich2	0	0.21373066252472178	17	526
0.114	number of replicate = 1	Naive	0.019607843137254898	0.1997623393432977	17	526
0.114	number of replicate = 1	Rosace	0	0.24936151380122526	17	526
0.114	number of replicate = 1	Rosace(nopos)	0	0.19972325005368524	17	526
0.114	number of replicate = 1	mutscan(edgeR)	0	0.21310671665202624	17	526
0.114	number of replicate = 1	mutscan(limma)	0	0.23345809470610174	17	526
0.114	number of replicate = 2	DiMSum	0	0.22277427196590022	17	551
0.114	number of replicate = 2	Enrich2	0	0.2563895502755624	17	551
0.114	number of replicate = 2	Naive	0	0.23547844619457536	17	551
0.114	number of replicate = 2	Rosace	0	0.27011105746016417	17	551
0.114	number of replicate = 2	Rosace(nopos)	0	0.2190246257846451	17	551
0.114	number of replicate = 2	mutscan(edgeR)	0	0.22821891806390385	17	551
0.114	number of replicate = 2	mutscan(limma)	0	0.2536872075792138	17	551
0.114	number of replicate = 3	DiMSum	0	0.24772313296903464	17	549
0.114	number of replicate = 3	Enrich2	0	0.2459016393442623	17	549
0.114	number of replicate = 3	Naive	0	0.23679417122040072	17	549
0.114	number of replicate = 3	Rosace	0	0.25318761384335153	17	549
0.114	number of replicate = 3	Rosace(nopos)	0	0.2040072859744991	17	549
0.114	number of replicate = 3	mutscan(edgeR)	0	0.1912568306010929	17	549
0.114	number of replicate = 3	mutscan(limma)	0	0.2586520947176685	17	549
0.116	number of replicate = 1	DiMSum	0.043055555555555555	0.18518449014091753	17	526
0.116	number of replicate = 1	Enrich2	0	0.21500294569027886	17	526
0.116	number of replicate = 1	Naive	0.019607843137254898	0.2023020310972814	17	526
0.116	number of replicate = 1	Rosace	0	0.25508919753302656	17	526
0.116	number of replicate = 1	Rosace(nopos)	0	0.20227023513885076	17	526
0.116	number of replicate = 1	mutscan(edgeR)	0	0.21755969846421908	17	526
0.116	number of replicate = 1	mutscan(limma)	0	0.23600020521413684	17	526
0.116	number of replicate = 2	DiMSum	0.02941176470588235	0.22369170315856074	17	551
0.116	number of replicate = 2	Enrich2	0	0.2636990292878669	17	551
0.116	number of replicate = 2	Naive	0	0.23821075941990377	17	551
0.116	number of replicate = 2	Rosace	0	0.2737508117018266	17	551
0.116	number of replicate = 2	Rosace(nopos)	0	0.22449924241162855	17	551
0.116	number of replicate = 2	mutscan(edgeR)	0	0.2337035248672139	17	551
0.116	number of replicate = 2	mutscan(limma)	0	0.25917181438252385	17	551
0.116	number of replicate = 3	DiMSum	0	0.2495446265938069	17	549
0.116	number of replicate = 3	Enrich2	0	0.2495446265938069	17	549
0.116	number of replicate = 3	Naive	0	0.23861566484517305	17	549
0.116	number of replicate = 3	Rosace	0	0.2568306010928962	17	549
0.116	number of replicate = 3	Rosace(nopos)	0	0.209471766848816	17	549
0.116	number of replicate = 3	mutscan(edgeR)	0	0.2021857923497268	17	549
0.116	number of replicate = 3	mutscan(limma)	0	0.2641165755919854	17	549
0.118	number of replicate = 1	DiMSum	0.043055555555555555	0.18836033274493666	17	526
0.118	number of replicate = 1	Enrich2	0.019607843137254898	0.22009691586060992	17	526
0.118	number of replicate = 1	Naive	0.019607843137254898	0.20548029245535193	17	526
0.118	number of replicate = 1	Rosace	0	0.26145301358034945	17	526
0.118	number of replicate = 1	Rosace(nopos)	0	0.20608706610100813	17	526
0.118	number of replicate = 1	mutscan(edgeR)	0	0.22265366863455013	17	526
0.118	number of replicate = 1	mutscan(limma)	0	0.24427001798848702	17	526
0.118	number of replicate = 2	DiMSum	0.02941176470588235	0.22734144757654973	17	551
0.118	number of replicate = 2	Enrich2	0	0.26461646048052745	17	551
0.118	number of replicate = 2	Naive	0	0.24277793503055328	17	551
0.118	number of replicate = 2	Rosace	0	0.2801328693451439	17	551
0.118	number of replicate = 2	Rosace(nopos)	0	0.22722156546063038	17	551
